items,feedback,admirers,open_date.year,open_date.month,open_date.day-of-month,open_date.day-of-week,sales
144,1315,753,2009,11,12,4,453
75,19,1430,2011,2,9,3,47
32,5,1108,2013,3,18,1,4
24,9,112,2010,11,14,7,0
89,538,10176,2007,7,10,2,517
36,5,273,2013,2,21,4,10
151,7,1065,2012,10,18,4,7
67,6,877,2011,9,21,3,12
174,32,1446,2010,2,17,3,70
173,287,1058,2010,7,18,7,578
115,15,687,2010,12,27,1,60
45,27,26,2012,5,29,2,60
0,0,1,2013,3,7,4,1
43,55,122,2009,1,13,2,26
145,287,346,2009,3,3,2,629
94,65,93,2012,8,8,3,142
198,205,625,2010,9,27,1,640
8,12,51,2012,11,15,4,20
12,1,218,2013,4,14,7,1
183,797,438,2006,9,20,3,164
88,19,37,2012,1,26,4,91
8,4,97,2011,9,17,6,18
100,340,1512,2011,4,10,7,965
252,581,505,2010,2,5,5,2030
469,359,231,2011,2,1,2,1537
199,281,1841,2011,8,2,2,866
69,211,273,2011,1,21,5,673
22,26,29,2012,4,19,4,128
17,140,612,2010,11,3,3,553
326,320,602,2010,4,26,1,690
822,1081,1196,2010,5,17,1,4103
62,390,1341,2009,5,30,6,1049
116,16,426,2012,9,28,5,121
3,0,1,2011,10,7,5,0
109,405,382,2008,7,10,4,846
82,241,4303,2011,2,5,6,1023
120,15,22,2012,11,3,6,54
51,243,498,2010,2,2,2,616
192,488,700,2009,6,3,3,1123
13,0,62,2013,5,11,6,0
99,544,2737,2008,8,27,3,1128
102,63,152,2010,3,22,1,52
125,10,42,2010,10,27,3,19
323,83,508,2010,9,21,2,64
71,145,1707,2008,6,27,5,210
247,237,601,2007,12,6,4,534
46,30,105,2007,12,17,1,40
428,580,962,2011,6,10,5,1545
94,8,21,2011,6,28,2,18
16,0,0,2012,7,25,3,0
45,93,193,2010,2,21,7,169
741,3510,17542,2009,2,19,4,16885
73,10,52,2010,12,10,5,22
278,312,275,2010,2,7,7,490
177,0,37,2012,1,13,5,5
43,139,105,2007,4,7,6,289
191,66,340,2011,4,28,4,109
74,762,4533,2009,1,10,6,1736
82,54,50,2011,2,8,2,112
230,428,461,2009,5,7,4,741
146,41,1731,2011,9,13,2,157
20,84,311,2011,4,7,4,143
50,6,7,2013,4,30,2,14
20,22,56,2012,10,15,1,4
302,1188,12336,2007,12,26,3,2135
218,932,2528,2011,1,24,1,1556
57,74,219,2012,2,13,1,221
26,124,243,2011,1,8,6,226
17,18,78,2013,2,13,3,110
63,321,842,2011,4,16,6,933
210,2360,6189,2008,8,29,5,3291
8,0,0,2013,6,13,4,0
137,219,448,2010,3,7,7,635
0,0,1,2013,6,21,5,1
58,104,112,2012,4,16,1,110
0,193,642,2011,11,7,1,561
109,23,124,2012,6,11,1,92
131,986,4241,2011,3,7,1,5081
388,2210,17602,2010,12,7,2,3927
1,4,20,2013,2,1,5,24
42,42,56,2013,3,9,6,570
100,706,2341,2011,10,4,2,1574
47,99,285,2011,2,1,2,342
30,62,119,2011,1,27,4,184
193,285,318,2011,6,13,1,975
39,118,680,2011,4,25,1,282
62,158,233,2011,2,28,1,332
157,142,315,2010,10,20,3,644
0,7,35,2013,2,22,5,43
0,3,4,2012,12,11,2,2
70,210,608,2010,11,29,1,395
70,103,76,2010,2,9,2,49
131,10,56,2010,7,7,3,46
76,16,52,2011,2,10,4,36
13,38,197,2011,2,20,7,138
220,183,1012,2012,1,25,3,778
18,8,97,2013,4,5,5,2
509,373,333,2010,10,22,5,753
67,122,1100,2007,11,8,4,230
10,18,14,2008,9,19,5,78
80,299,918,2008,1,24,4,1050
210,270,464,2009,1,7,3,1064
172,64,84,2012,3,30,5,186
470,620,1138,2010,10,27,3,2258
46,3,22,2012,5,26,6,7
24,185,1328,2011,1,31,1,856
27,15,37,2013,2,18,1,24
113,1149,2620,2009,4,4,6,3625
0,0,0,2013,6,16,7,0
23,17,49,2013,3,4,1,65
23,33,52,2012,1,18,3,140
37,339,302,2008,2,25,1,62
23,4,8,2011,11,2,3,10
3,0,1,2013,2,12,2,1
61,2,38,2012,11,24,6,3
301,0,13,2013,5,30,4,12
699,12386,31999,2006,7,9,7,28603
91,168,154,2011,7,15,5,1041
69,1,9,2012,5,20,7,9
137,43,66,2012,11,1,4,156
56,26,208,2012,1,8,7,52
321,442,1028,2012,8,11,6,3252
56,18,62,2012,4,7,6,127
46,49,153,2008,11,20,4,147
222,730,2878,2009,10,3,6,2028
46,1,18,2012,9,15,6,19
148,231,554,2012,6,25,1,1386
533,512,246,2011,7,28,4,1475
48,1,54,2011,4,27,3,3
0,0,0,2013,6,21,5,0
219,829,6340,2009,4,28,2,1858
690,5187,18916,2007,11,26,1,12550
568,4287,5104,2008,4,16,3,10546
30,0,5,2013,2,15,5,0
103,1065,4073,2010,6,7,1,4241
203,222,283,2009,8,2,7,561
225,1426,1771,2010,6,25,5,2504
15,2,3,2013,3,20,3,5
46,54,44,2012,10,24,3,143
22,10,26,2012,3,1,4,41
0,3,6,2013,4,11,4,6
76,16,51,2012,10,15,1,31
17,19,30,2013,2,3,7,13
0,3,4,2012,7,23,1,3
16,1,4,2012,2,1,3,2
300,28,109,2011,2,20,7,177
67,11,83,2009,3,5,4,81
71,228,623,2009,4,20,1,500
0,17,12,2011,6,1,3,14
125,188,209,2008,9,6,6,200
66,37,69,2012,4,21,6,85
27,2,16,2010,9,6,1,14
0,5,14,2012,9,12,3,18
16,0,2,2013,2,23,6,0
26,8,48,2012,9,12,3,20
36,51,59,2009,11,24,2,83
33,108,373,2011,10,22,6,405
231,11,270,2009,2,5,4,21
110,707,19285,2010,6,29,2,1955
8,24,44,2010,8,15,7,53
43,23,85,2008,5,30,5,18
113,279,414,2012,12,12,3,210
93,164,231,2013,1,5,6,18
95,83,249,2010,1,7,4,209
189,92,231,2012,1,25,3,268
27,11,30,2012,2,26,7,52
21,3,10,2011,1,5,3,5
168,88,1686,2009,11,30,1,317
283,809,1911,2008,2,22,5,1368
163,30,94,2012,5,1,2,97
68,4,224,2012,2,1,3,26
17,15,17,2008,9,3,3,3
85,8,31,2009,7,28,2,14
10,11,8,2013,4,17,3,0
54,7,31,2012,2,13,1,22
17,6,12,2012,7,23,1,32
6,0,1,2012,7,1,7,1
157,445,2080,2009,2,26,4,1289
34,57,235,2010,6,22,2,77
48,117,123,2009,5,28,4,191
14,44,45,2012,4,18,3,50
45,28,8,2013,2,23,6,111
147,310,4227,2009,11,20,5,437
